Rank,Player,,,
,Milos Degenek,,,
,,,,
,AUS,,,
,DF,,,
280,,0,0,0
,Cameron Devlin,,,
,,,,
,AUS,,,
,MF,,,
280,,0,0,0
,Yehvann Diouf,,,
,,,,
,SEN,,,
,GK,,,
280,,0,0,0
,Willer Ditta,,,
,,,,
,COL,,,
,DF,,,
280,,0,0,0
,Trevor Doornbusch,,,
,,,,
,CUW,,,
,GK,,,
280,,0,0,0
,Stopira,,,
,,,,
,CPV,,,
,DF,,,
280,,0,0,0
,Josue Duverger,,,
,,,,
,HAI,,,
,GK,,,
280,,0,0,0
,Hjalmar Ekdal,,,
,,,,
,SWE,,,
,DF,,,
280,,0,0,0
,Tarek Alaa,,,
,,,,
,EGY,,,
,DF,,,
280,,0,0,0
,Rayan Elloumi,,,
,,,,
,TUN,,,
,FW,,,
280,,0,0,0
,Matthieu Epolo,,,
,,,,
,COD,,,
,GK,,,
280,,0,0,0
,Botirali Ergashev,,,
,,,,
,UZB,,,
,GK,,,
280,,0,0,0
,Martin Erlic,,,
,,,,
,CRO,,,
,DF,,,
280,,0,0,0
,Umar Eshmurodov,,,
,,,,
,UZB,,,
,DF,,,
280,,0,0,0
,Edgardo Farina,,,
,,,,
,PAN,,,
,DF,,,
280,,0,0,0
,Timothy Fayulu,,,
,,,,
,COD,,,
,GK,,,
280,,0,0,0
,Kevin Felida,,,
,,,,
,CUW,,,
,MF,,,
280,,0,0,0
,Gatito Fernandez,,,
,,,,
,PAR,,,
,GK,,,
280,,0,0,0
,Mark Flekken,,,
,,,,
,NED,,,
,GK,,,
280,,0,0,0
,Tyler Fletcher,,,
,,,,
,SCO,,,
,MF,,,
280,,0,0,0
,Toni Fruk,,,
,,,,
,CRO,,,
,MF,,,
280,,0,0,0
,Goncalo Guedes,,,
,,,,
,POR,,,
,FW,,,
280,,0,0,0
,Joan Garcia,,,
,,,,
,ESP,,,
,GK,,,
280,,0,0,0
,Lutsharel Geertruida,,,
,,,,
,NED,,,
,DF,,,
280,,0,0,0
,Jose Maria Gimenez,,,
,,,,
,URU,,,
,DF,,,
280,,0,0,0
,Owen Goodman,,,
,,,,
,CAN,,,
,GK,,,
280,,0,0,0
,Craig Gordon,,,
,,,,
,SCO,,,
,GK,,,
280,,0,0,0
,Ricardo Goss,,,
,,,,
,RSA,,,
,GK,,,
280,,0,0,0
,Alex Grimaldo,,,
,,,,
,ESP,,,
,DF,,,
280,,0,0,0
,Parfait Guiagon,,,
,,,,
,CIV,,,
,MF,,,
280,,0,0,0
,Mert Gunok,,,
,,,,
,TUR,,,
,GK,,,
280,,0,0,0
,Rajaei Ayed,,,
,,,,
,JOR,,,
,MF,,,
280,,0,0,0
,Salah Zakaria,,,
,,,,
,QAT,,,
,GK,,,
280,,0,0,0
,Lucas Hernandez,,,
,,,,
,FRA,,,
,DF,,,
280,,0,0,0
,George Hirst,,,
,,,,
,SCO,,,
,FW,,,
280,,0,0,0
,Lukas Hornicek,,,
,,,,
,CZE,,,
,GK,,,
280,,0,0,0
,Hossein Hosseini,,,
,,,,
,IRN,,,
,GK,,,
280,,0,0,0
,Dominic Hyam,,,
,,,,
,SCO,,,
,DF,,,
280,,0,0,0
,Mahdy Soliman,,,
,,,,
,EGY,,,
,GK,,,
280,,0,0,0
,Danial Iri,,,
,,,,
,IRN,,,
,DF,,,
280,,0,0,0
,Paul Izzo,,,
,,,,
,AUS,,,
,GK,,,
280,,0,0,0
,Kristijan Jakic,,,
,,,,
,CRO,,,
,DF,,,
280,,0,0,0
,Tahsin Mohammed,,,
,,,,
,QAT,,,
,FW,,,
280,,0,0,0
,Jo Hyeonwoo,,,
,,,,
,KOR,,,
,GK,,,
280,,0,0,0
,Viktor Johansson,,,
,,,,
,SWE,,,
,GK,,,
280,,0,0,0
,Herman Johansson,,,
,,,,
,SWE,,,
,DF,,,
280,,0,0,0
,Alfie Jones,,,
,,,,
,CAN,,,
,DF,,,
280,,0,0,0
,David Jurasek,,,
,,,,
,CZE,,,
,DF,,,
280,,0,0,0
,Mladen Jurkas,,,
,,,,
,BIH,,,
,GK,,,
280,,0,0,0
,Samukele Kabini,,,
,,,,
,RSA,,,
,DF,,,
280,,0,0,0
,Gael Kakuta,,,
,,,,
,COD,,,
,FW,,,
280,,0,0,0
,Ngolo Kante,,,
,,,,
,FRA,,,
,MF,,,
280,,0,0,0
,Marvin Keller,,,
,,,,
,SUI,,,
,GK,,,
280,,0,0,0
,Liam Kelly,,,
,,,,
,SCO,,,
,GK,,,
280,,0,0,0
,Kim Taehyeon,,,
,,,,
,KOR,,,
,DF,,,
280,,0,0,0
,Mohamed Kone,,,
,,,,
,CIV,,,
,GK,,,
280,,0,0,0
,Dominik Kotarski,,,
,,,,
,CRO,,,
,GK,,,
280,,0,0,0
,Jan Kuchta,,,
,,,,
,CZE,,,
,FW,,,
280,,0,0,0
,Markhus Lacroix,,,
,,,,
,HAI,,,
,DF,,,
280,,0,0,0
,Lee Donggyeong,,,
,,,,
,KOR,,,
,MF,,,
280,,0,0,0
,Dejan Ljubicic,,,
,,,,
,AUT,,,
,MF,,,
280,,0,0,0
,Hassan Kadish,,,
,,,,
,KSA,,,
,DF,,,
280,,0,0,0
,Kobbie Mainoo,,,
,,,,
,ENG,,,
,MF,,,
280,,0,0,0
,Ali Majrashi,,,
,,,,
,KSA,,,
,DF,,,
280,,0,0,0
,Olwethu Makhanya,,,
,,,,
,RSA,,,
,DF,,,
280,,0,0,0
,Jose Sa,,,
,,,,
,POR,,,
,GK,,,
280,,0,0,0
,Arjany Martha,,,
,,,,
,CUW,,,
,MF,,,
280,,0,0,0
,Emiliano Martinez,,,
,,,,
,URU,,,
,MF,,,
280,,0,0,0
,Melvin Mastil,,,
,,,,
,ALG,,,
,GK,,,
280,,0,0,0
,Thabang Matuludi,,,
,,,,
,RSA,,,
,DF,,,
280,,0,0,0
,Luis Mejia,,,
,,,,
,PAN,,,
,GK,,,
280,,0,0,0
,Santiago Mele,,,
,,,,
,URU,,,
,GK,,,
280,,0,0,0
,Antoine Mendy,,,
,,,,
,SEN,,,
,DF,,,
280,,0,0,0
,Garven Metusala,,,
,,,,
,HAI,,,
,DF,,,
280,,0,0,0
,Roderick Miller,,,
,,,,
,PAN,,,
,DF,,,
280,,0,0,0
,Alvaro Montero,,,
,,,,
,COL,,,
,GK,,,
280,,0,0,0
,Nikola Moro,,,
,,,,
,CRO,,,
,MF,,,
280,,0,0,0
,Nihad Mujakic,,,
,,,,
,BIH,,,
,DF,,,
280,,0,0,0
,Victor Munoz,,,
,,,,
,ESP,,,
,FW,,,
280,,0,0,0
,Mohammed Muntari,,,
,,,,
,QAT,,,
,FW,,,
280,,0,0,0
,Khulumani Ndamane,,,
,,,,
,RSA,,,
,DF,,,
280,,0,0,0
,Cherif Ndiaye,,,
,,,,
,SEN,,,
,FW,,,
280,,0,0,0
,Evan Ndicka,,,
,,,,
,CIV,,,
,DF,,,
280,,0,0,0
,Moutaz Neffati,,,
,,,,
,TUN,,,
,DF,,,
280,,0,0,0
,Payam Niazmand,,,
,,,,
,IRN,,,
,GK,,,
280,,0,0,0
,Alexander Nuebel,,,
,,,,
,GER,,,
,GK,,,
280,,0,0,0
,Gaston Olveira,,,
,,,,
,PAR,,,
,GK,,,
280,,0,0,0
,Keisuke Osako,,,
,,,,
,JPN,,,
,GK,,,
280,,0,0,0
,David Ospina,,,
,,,,
,COL,,,
,GK,,,
280,,0,0,0
,Assan Ouedraogo,,,
,,,,
,GER,,,
,MF,,,
280,,0,0,0
,Ivor Pandur,,,
,,,,
,CRO,,,
,GK,,,
280,,0,0,0
,Wilguens Paugain,,,
,,,,
,HAI,,,
,DF,,,
280,,0,0,0
,Alex Paulsen,,,
,,,,
,NZL,,,
,GK,,,
280,,0,0,0
,Facundo Pellistri,,,
,,,,
,URU,,,
,FW,,,
280,,0,0,0
,Patrick Pentz,,,
,,,,
,AUT,,,
,GK,,,
280,,0,0,0
,Leo Pereira,,,
,,,,
,BRA,,,
,DF,,,
280,,0,0,0
,Alexandre Pierre,,,
,,,,
,HAI,,,
,GK,,,
280,,0,0,0
,Woodensky Pierre,,,
,,,,
,HAI,,,
,MF,,,
280,,0,0,0
,Nando Pijnaker,,,
,,,,
,NZL,,,
,DF,,,
280,,0,0,0
,Joaquin Piquerez,,,
,,,,
,URU,,,
,MF,,,
280,,0,0,0
,Juan Portilla,,,
,,,,
,COL,,,
,MF,,,
280,,0,0,0
,Fahad Talib,,,
,,,,
,IRQ,,,
,GK,,,
280,,0,0,0
,Moises Ramirez,,,
,,,,
,ECU,,,
,GK,,,
280,,0,0,0
,David Raya,,,
,,,,
,ESP,,,
,GK,,,
280,,0,0,0
,Amirmohammad Razaghinia,,,
,,,,
,IRN,,,
,MF,,,
280,,0,0,0
,Robin Roefs,,,
,,,,
,NED,,,
,GK,,,
280,,0,0,0
,Logan Rogerson,,,
,,,,
,NZL,,,
,FW,,,
280,,0,0,0
,Cristian Roldan,,,
,,,,
,USA,,,
,MF,,,
280,,0,0,0
,Alex Rufer,,,
,,,,
,NZL,,,
,MF,,,
280,,0,0,0
,Geronimo Rulli,,,
,,,,
,ARG,,,
,GK,,,
280,,0,0,0
,Ibrahim Sadeh,,,
,,,,
,JOR,,,
,MF,,,
280,,0,0,0
,Carl Sainte,,,
,,,,
,HAI,,,
,MF,,,
280,,0,0,0
,Brice Samba,,,
,,,,
,FRA,,,
,GK,,,
280,,0,0,0
,Cesar Samudio,,,
,,,,
,PAN,,,
,GK,,,
280,,0,0,0
,Ederson,,,
,,,,
,BRA,,,
,GK,,,
280,,0,0,0
,Mamadou Sarr,,,
,,,,
,SEN,,,
,DF,,,
280,,0,0,0
,Alessandro Schoepf,,,
,,,,
,AUT,,,
,MF,,,
280,,0,0,0
,Bremer,,,
,,,,
,BRA,,,
,DF,,,
280,,0,0,0
,Eric Smith,,,
,,,,
,SWE,,,
,DF,,,
280,,0,0,0
,Hugo Sochurek,,,
,,,,
,CZE,,,
,MF,,,
280,,0,0,0
,Song Bumkeun,,,
,,,,
,KOR,,,
,GK,,,
280,,0,0,0
,John Souttar,,,
,,,,
,SCO,,,
,DF,,,
280,,0,0,0
,Kelvin Pires,,,
,,,,
,CPV,,,
,DF,,,
280,,0,0,0
,Dayne St Clair,,,
,,,,
,CAN,,,
,GK,,,
280,,0,0,0
,Jindrich Stanek,,,
,,,,
,CZE,,,
,GK,,,
280,,0,0,0
,Abdul Mumin,,,
,,,,
,GHA,,,
,DF,,,
280,,0,0,0
,Michael Svoboda,,,
,,,,
,AUT,,,
,DF,,,
280,,0,0,0
,Ahmed Reda Tagnaouti,,,
,,,,
,MAR,,,
,GK,,,
280,,0,0,0
,Mohammad Abughoush,,,
,,,,
,JOR,,,
,MF,,,
280,,0,0,0
,Sander Tangvik,,,
,,,,
,NOR,,,
,GK,,,
280,,0,0,0
,Keeto Thermoncy,,,
,,,,
,HAI,,,
,DF,,,
280,,0,0,0
,Jehad Thikri,,,
,,,,
,KSA,,,
,DF,,,
280,,0,0,0
,Yassine Titraoui,,,
,,,,
,ALG,,,
,MF,,,
280,,0,0,0
,Mohamed Amine Tougai,,,
,,,,
,ALG,,,
,DF,,,
280,,0,0,0
,James Trafford,,,
,,,,
,ENG,,,
,GK,,,
280,,0,0,0
,Avazbek Ulmasaliyev,,,
,,,,
,UZB,,,
,DF,,,
280,,0,0,0
,Anthony Valencia,,,
,,,,
,ECU,,,
,MF,,,
280,,0,0,0
,Gonzalo Valle,,,
,,,,
,ECU,,,
,GK,,,
280,,0,0,0
,Ben Waine,,,
,,,,
,NZL,,,
,FW,,,
280,,0,0,0
,Joel Waterman,,,
,,,,
,CAN,,,
,DF,,,
280,,0,0,0
,Mats Wieffer,,,
,,,,
,NED,,,
,DF,,,
280,,0,0,0
,Florian Wiegele,,,
,,,,
,AUT,,,
,GK,,,
280,,0,0,0
,Michael Woud,,,
,,,,
,NZL,,,
,GK,,,
280,,0,0,0
,Cesar Yanis,,,
,,,,
,PAN,,,
,MF,,,
280,,0,0,0
,Rodrigo Zalazar,,,
,,,,
,URU,,,
,MF,,,
280,,0,0,0
,Martin Zlomislic,,,
,,,,
,BIH,,,
,GK,,,
510,,0,0,0
,Fabian Balbuena,,,
,,,,
,PAR,,,
,DF,,,
512,,0,0,1
,Baba Rahman,,,
,,,,
,GHA,,,
,DF,,,
513,,0,0,1
,Borja Iglesias,,,
,,,,
,ESP,,,
,FW,,,
514,,0,0,2
,Marcus Thuram,,,
,,,,
,FRA,,,
,FW,,,
515,,0,0,2
,Mathew Ryan,,,
,,,,
,AUS,,,
,GK,,,
516,,0,0,2
,Max Arfsten,,,
,,,,
,USA,,,
,DF,,,
517,,0,0,2
,Yerry Mina,,,
,,,,
,COL,,,
,DF,,,
518,,0,0,2
,Fares Ghedjemis,,,
,,,,
,ALG,,,
,FW,,,
519,,0,0,3
,Sherzod Esanov,,,
,,,,
,UZB,,,
,MF,,,
520,,0,0,3
,Marc Pubill,,,
,,,,
,ESP,,,
,DF,,,
522,,0,0,4
,Matheus Nunes,,,
,,,,
,POR,,,
,MF,,,
523,,0,0,4
,Haji Wright,,,
,,,,
,USA,,,
,FW,,,
524,,0,0,5
,Gustaf Nilsson,,,
,,,,
,SWE,,,
,FW,,,
525,,0,0,6
,Trevoh Chalobah,,,
,,,,
,ENG,,,
,DF,,,
526,,0,0,6
,Brandley Kuwas,,,
,,,,
,CUW,,,
,FW,,,
527,,0,0,6
,Shurandy Sambo,,,
,,,,
,CUW,,,
,DF,,,
528,,0,0,7
,Ibrahim Adel,,,
,,,,
,EGY,,,
,FW,,,
529,,0,0,7
,Irfan Can Kahveci,,,
,,,,
,TUR,,,
,FW,,,
530,,0,0,7
,Ross Stewart,,,
,,,,
,SCO,,,
,FW,,,
531,,0,0,7
,Andres Gomez,,,
,,,,
,COL,,,
,FW,,,
532,,0,0,8
,Rodrigo Aguirre,,,
,,,,
,URU,,,
,FW,,,
533,,0,0,8
,Khalid Alghannam,,,
,,,,
,KSA,,,
,FW,,,
534,,0,0,8
,Alberto Quintero,,,
,,,,
,PAN,,,
,MF,,,
535,,0,0,10
,Maghnes Akliouche,,,
,,,,
,FRA,,,
,MF,,,
536,,0,0,10
,Carl Starfelt,,,
,,,,
,SWE,,,
,DF,,,
537,,0,0,10
,Gedeon Kalulu,,,
,,,,
,COD,,,
,DF,,,
539,,0,0,11
,Marten De Roon,,,
,,,,
,NED,,,
,MF,,,
540,,0,0,11
,Anibal Godoy,,,
,,,,
,PAN,,,
,MF,,,
542,,0,0,11
,Keisuke Goto,,,
,,,,
,JPN,,,
,FW,,,
543,,0,0,12
,Mohammad Abuzraiq,,,
,,,,
,JOR,,,
,FW,,,
544,,0,0,12
,Godfried Roemeratoe,,,
,,,,
,CUW,,,
,MF,,,
545,,0,0,12
,Jordan Henderson,,,
,,,,
,ENG,,,
,MF,,,
546,,0,0,12
,Christian Fassnacht,,,
,,,,
,SUI,,,
,FW,,,
548,,0,0,12
,Jens Petter Hauge,,,
,,,,
,NOR,,,
,MF,,,
549,,0,0,12
,Amir Hadziahmetovic,,,
,,,,
,BIH,,,
,MF,,,
550,,0,0,12
,Mojmir Chytil,,,
,,,,
,CZE,,,
,FW,,,
551,,0,0,12
,Jayden Nelson,,,
,,,,
,CAN,,,
,FW,,,
552,,0,0,12
,Cesar Huerta,,,
,,,,
,MEX,,,
,FW,,,
554,,0,0,12
,Kento Shiogai,,,
,,,,
,JPN,,,
,FW,,,
555,,0,0,12
,Felix Torres,,,
,,,,
,ECU,,,
,DF,,,
556,,0,0,13
,Lucas Mendes,,,
,,,,
,QAT,,,
,DF,,,
557,,0,0,13
,Mohammad Abuhasheesh,,,
,,,,
,JOR,,,
,DF,,,
558,,0,0,13
,Kamogelo Sebelebele,,,
,,,,
,RSA,,,
,FW,,,
559,,0,0,13
,Yassin Fortune,,,
,,,,
,HAI,,,
,FW,,,
561,,0,0,14
,Derrick Etienne,,,
,,,,
,HAI,,,
,FW,,,
562,,0,0,14
,Eric Davis,,,
,,,,
,PAN,,,
,DF,,,
563,,0,0,15
,Alex Sandro,,,
,,,,
,BRA,,,
,DF,,,
564,,0,0,15
,Caglar Soyuncu,,,
,,,,
,TUR,,,
,DF,,,
565,,0,0,15
,Mohammad Aldaoud,,,
,,,,
,JOR,,,
,MF,,,
566,,0,0,15
,Mohamed Abdelmoneim,,,
,,,,
,EGY,,,
,DF,,,
567,,0,0,16
,Assane Diao,,,
,,,,
,SEN,,,
,FW,,,
568,,0,0,16
,Bamba Dieng,,,
,,,,
,SEN,,,
,FW,,,
569,,0,0,16
,Jamshid Iskanderov,,,
,,,,
,UZB,,,
,MF,,,
570,,0,0,17
,Noa Lang,,,
,,,,
,NED,,,
,FW,,,
571,,0,0,17
,Yuito Suzuki,,,
,,,,
,JPN,,,
,MF,,,
572,,0,0,17
,Jonathan Osorio,,,
,,,,
,CAN,,,
,MF,,,
573,,0,0,18
,Callan Elliot,,,
,,,,
,NZL,,,
,DF,,,
574,,0,0,18
,Alejandro Romero Gamarra,,,
,,,,
,PAR,,,
,FW,,,
575,,0,0,18
,Guillermo Ochoa,,,
,,,,
,MEX,,,
,GK,,,
576,,0,0,18
,Alexis Vega,,,
,,,,
,MEX,,,
,FW,,,
577,,0,0,19
,Themba Zwane,,,
,,,,
,RSA,,,
,MF,,,
578,,0,0,19
,Jean Michael Seri,,,
,,,,
,CIV,,,
,MF,,,
579,,0,0,19
,David Zima,,,
,,,,
,CZE,,,
,DF,,,
580,,0,0,19
,Amer Jamous,,,
,,,,
,JOR,,,
,MF,,,
581,,0,0,19
,Ramon Sosa,,,
,,,,
,PAR,,,
,MF,,,
582,,0,0,19
,Tyrese Noslin,,,
,,,,
,CUW,,,
,FW,,,
583,,0,0,20
,Mohanad Ali,,,
,,,,
,IRQ,,,
,FW,,,
584,,0,0,20
,Roshon Van Eijma,,,
,,,,
,CUW,,,
,DF,,,
585,,0,0,20
,Kenji Gorre,,,
,,,,
,CUW,,,
,FW,,,
586,,0,0,20
,Kendry Paez,,,
,,,,
,ECU,,,
,MF,,,
587,,0,0,21
,Findlay Curtis,,,
,,,,
,SCO,,,
,FW,,,
588,,0,0,21
,Armando Gonzalez,,,
,,,,
,MEX,,,
,FW,,,
589,,0,0,22
,Alphonso Davies,,,
,,,,
,CAN,,,
,DF,,,
590,,0,0,22
,Saed Alrosan,,,
,,,,
,JOR,,,
,DF,,,
592,,0,0,22
,Alex Zendejas,,,
,,,,
,USA,,,
,FW,,,
593,,0,0,22
,Zakaria El Ouahdi,,,
,,,,
,MAR,,,
,DF,,,
594,,0,0,22
,Simon Adingra,,,
,,,,
,CIV,,,
,FW,,,
595,,0,0,22
,Ken Sema,,,
,,,,
,SWE,,,
,MF,,,
596,,0,0,23
,Shuto Machino,,,
,,,,
,JPN,,,
,FW,,,
597,,0,0,23
,Luka Sucic,,,
,,,,
,CRO,,,
,MF,,,
598,,0,0,23
,Anthony Ralston,,,
,,,,
,SCO,,,
,DF,,,
599,,0,0,23
,Azizbek Amonov,,,
,,,,
,UZB,,,
,FW,,,
600,,0,0,24
,Pascal Gross,,,
,,,,
,GER,,,
,MF,,,
601,,0,0,24
,Valentin Barco,,,
,,,,
,ARG,,,
,MF,,,
602,,0,0,24
,Aimar Sher,,,
,,,,
,IRQ,,,
,MF,,,
603,,0,0,24
,Mustafa Saadoon,,,
,,,,
,IRQ,,,
,DF,,,
604,,0,0,24
,Almoez Ali,,,
,,,,
,QAT,,,
,FW,,,
605,,0,0,25
,Yang Hyunjun,,,
,,,,
,KOR,,,
,MF,,,
606,,0,0,25
,Haris Tabakovic,,,
,,,,
,BIH,,,
,FW,,,
607,,0,0,25
,Noah Okafor,,,
,,,,
,SUI,,,
,FW,,,
608,,0,0,25
,Samir Chergui,,,
,,,,
,ALG,,,
,DF,,,
609,,0,0,26
,Samu Costa,,,
,,,,
,POR,,,
,DF,,,
610,,0,0,26
,Senne Lammens,,,
,,,,
,BEL,,,
,GK,,,
611,,0,0,26
,Amirhossein Hosseinzadeh,,,
,,,,
,IRN,,,
,FW,,,
612,,0,0,27
,Dzenis Burnic,,,
,,,,
,BIH,,,
,MF,,,
613,,0,0,27
,Evann Guessand,,,
,,,,
,CIV,,,
,FW,,,
614,,0,0,27
,Mortadha Ben Ouanes,,,
,,,,
,TUN,,,
,DF,,,
615,,0,0,28
,Kevin Castano,,,
,,,,
,COL,,,
,MF,,,
616,,0,0,28
,Adil Boulbina,,,
,,,,
,ALG,,,
,FW,,,
617,,0,0,28
,Braian Ojeda,,,
,,,,
,PAR,,,
,MF,,,
618,,0,0,29
,Sondre Langas,,,
,,,,
,NOR,,,
,DF,,,
619,,0,0,29
,Kevin Yakob,,,
,,,,
,IRQ,,,
,MF,,,
620,,0,0,29
,Eric Garcia,,,
,,,,
,ESP,,,
,DF,,,
621,,0,0,29
,Mehdi Torabi,,,
,,,,
,IRN,,,
,MF,,,
622,,0,0,29
,Martin Zubimendi,,,
,,,,
,ESP,,,
,MF,,,
623,,0,0,30
,Marco Friedl,,,
,,,,
,AUT,,,
,DF,,,
627,,0,0,31
,Awer Mabil,,,
,,,,
,AUS,,,
,FW,,,
628,,0,0,31
,Luis Chavez,,,
,,,,
,MEX,,,
,MF,,,
629,,0,0,31
,Mohamed Amoura,,,
,,,,
,ALG,,,
,FW,,,
630,,0,0,31
,Duckens Nazon,,,
,,,,
,HAI,,,
,FW,,,
631,,0,0,32
,Francis De Vries,,,
,,,,
,NZL,,,
,DF,,,
632,,0,0,32
,Francisco Trincao,,,
,,,,
,POR,,,
,FW,,,
633,,0,0,32
,Justin Kluivert,,,
,,,,
,NED,,,
,MF,,,
635,,0,0,32
,Youssef Amyn,,,
,,,,
,IRQ,,,
,MF,,,
636,,0,0,33
,Maximilian Beier,,,
,,,,
,GER,,,
,FW,,,
639,,0,0,33
,Tete Yengi,,,
,,,,
,AUS,,,
,FW,,,
640,,0,0,33
,Ayoube Amaimouni,,,
,,,,
,MAR,,,
,FW,,,
641,,0,0,35
,Samed Bazdar,,,
,,,,
,BIH,,,
,FW,,,
642,,0,0,36
,Guus Til,,,
,,,,
,NED,,,
,MF,,,
643,,0,0,36
,Bara Sapoko Ndiaye,,,
,,,,
,SEN,,,
,MF,,,
644,,0,0,36
,Jackson Porozo,,,
,,,,
,ECU,,,
,DF,,,
645,,0,0,36
,Joaquin Seys,,,
,,,,
,BEL,,,
,DF,,,
646,,0,0,37
,Jamie Leweling,,,
,,,,
,GER,,,
,MF,,,
647,,0,0,38
,Jean Philippe Mateta,,,
,,,,
,FRA,,,
,FW,,,
648,,0,0,38
,Ederson Silva,,,
,,,,
,BRA,,,
,MF,,,
649,,0,0,38
,Zineddine Belaid,,,
,,,,
,ALG,,,
,DF,,,
651,,0,0,38
,Ali Yousif,,,
,,,,
,IRQ,,,
,FW,,,
652,,0,0,38
,Luiz Henrique,,,
,,,,
,BRA,,,
,FW,,,
653,,0,0,38
,Ahmed Maknazi,,,
,,,,
,IRQ,,,
,DF,,,
654,,0,0,39
,Eray Coemert,,,
,,,,
,SUI,,,
,DF,,,
655,,0,0,39
,Patrick Wimmer,,,
,,,,
,AUT,,,
,FW,,,
656,,0,0,40
,Jordy Caicedo,,,
,,,,
,ECU,,,
,FW,,,
657,,0,0,40
,Oumar Diakite,,,
,,,,
,CIV,,,
,FW,,,
658,,0,0,41
,Ahmed Alganehi,,,
,,,,
,QAT,,,
,MF,,,
659,,0,0,41
,Alhashmi Alhussein,,,
,,,,
,QAT,,,
,DF,,,
660,,0,0,41
,Alexander Prass,,,
,,,,
,AUT,,,
,MF,,,
662,,0,0,41
,Cho Guesung,,,
,,,,
,KOR,,,
,FW,,,
664,,0,0,41
,Rebin Sulaka,,,
,,,,
,IRQ,,,
,DF,,,
666,,0,0,42
,Ali Alipour,,,
,,,,
,IRN,,,
,FW,,,
667,,0,0,42
,Axel Witsel,,,
,,,,
,BEL,,,
,MF,,,
668,,0,0,43
,Jorrel Hato,,,
,,,,
,NED,,,
,DF,,,
669,,0,0,43
,Tomas Chory,,,
,,,,
,CZE,,,
,FW,,,
670,,0,0,43
,Saleem Obaid,,,
,,,,
,JOR,,,
,DF,,,
671,,0,0,43
,Ala Alhajji,,,
,,,,
,KSA,,,
,MF,,,
672,,0,0,44
,Park Jinseob,,,
,,,,
,KOR,,,
,DF,,,
673,,0,0,44
,Nick Woltemade,,,
,,,,
,GER,,,
,FW,,,
674,,0,0,45
,Gervane Kastaneer,,,
,,,,
,CUW,,,
,FW,,,
675,,0,0,45
,Charles Pickel,,,
,,,,
,COD,,,
,MF,,,
677,,0,0,45
,Orbelin Pineda,,,
,,,,
,MEX,,,
,MF,,,
678,,0,0,46
,Taha Ali,,,
,,,,
,SWE,,,
,FW,,,
679,,0,0,46
,Igor Sergeev,,,
,,,,
,UZB,,,
,FW,,,
681,,0,0,47
,Theo Bongonda,,,
,,,,
,COD,,,
,MF,,,
682,,0,0,49
,Roger Ibanez,,,
,,,,
,BRA,,,
,DF,,,
683,,0,0,49
,Dylan Bronn,,,
,,,,
,TUN,,,
,DF,,,
684,,0,0,49
,Simon Banza,,,
,,,,
,COD,,,
,FW,,,
685,,0,0,49
,Lyndon Dykes,,,
,,,,
,SCO,,,
,FW,,,
686,,0,0,49
,Matias Vina,,,
,,,,
,URU,,,
,DF,,,
687,,0,0,49
,Jordy Alcivar,,,
,,,,
,ECU,,,
,MF,,,
688,,0,0,50
,Morten Thorsby,,,
,,,,
,NOR,,,
,MF,,,
689,,0,0,50
,Sontje Hansen,,,
,,,,
,CUW,,,
,FW,,,
690,,0,0,50
,Fredrik Andre Bjorkan,,,
,,,,
,NOR,,,
,DF,,,
691,,0,0,50
,Malick Thiaw,,,
,,,,
,GER,,,
,DF,,,
692,,0,0,50
,Mehdi Ghayedi,,,
,,,,
,IRN,,,
,FW,,,
694,,0,0,50
,Deniz Gul,,,
,,,,
,TUR,,,
,FW,,,
695,,0,0,50
,Jearl Margaritha,,,
,,,,
,CUW,,,
,FW,,,
696,,0,0,51
,Castrop Jens,,,
,,,,
,KOR,,,
,DF,,,
698,,0,0,51
,Abdulaziz Hatem,,,
,,,,
,QAT,,,
,MF,,,
699,,0,0,51
,Arya Yousefi,,,
,,,,
,IRN,,,
,DF,,,
700,,0,0,51
,Sergio Rochet,,,
,,,,
,URU,,,
,GK,,,
701,,0,0,52
,Angelo Stiller,,,
,,,,
,GER,,,
,MF,,,
702,,0,0,52
,Ismael Diaz,,,
,,,,
,PAN,,,
,MF,,,
703,,0,0,52
,Mohamed Hadj Mahmoud,,,
,,,,
,TUN,,,
,MF,,,
704,,0,0,53
,Tomas Rodriguez,,,
,,,,
,PAN,,,
,FW,,,
705,,0,0,53
,Eom Jisung,,,
,,,,
,KOR,,,
,MF,,,
706,,0,0,53
,Yaimar Medina,,,
,,,,
,ECU,,,
,DF,,,
707,,0,0,55
,Isidro Pitta,,,
,,,,
,PAR,,,
,FW,,,
708,,0,0,55
,Can Uzun,,,
,,,,
,TUR,,,
,FW,,,
709,,0,0,55
,Ahmed Alaaeldin,,,
,,,,
,QAT,,,
,FW,,,
710,,0,0,55
,Farrukh Sayfiev,,,
,,,,
,UZB,,,
,DF,,,
711,,0,0,57
,Matias Fernandez Pardo,,,
,,,,
,BEL,,,
,FW,,,
712,,0,0,58
,Junnosuke Suzuki,,,
,,,,
,JPN,,,
,DF,,,
713,,0,0,58
,Wout Weghorst,,,
,,,,
,NED,,,
,FW,,,
714,,0,0,58
,Vladimir Darida,,,
,,,,
,CZE,,,
,MF,,,
715,,0,0,58
,Alireza Jahanbakhsh,,,
,,,,
,IRN,,,
,MF,,,
716,,0,0,58
,Elias Achouri,,,
,,,,
,TUN,,,
,FW,,,
717,,0,0,59
